test	A	B	C
0	23	38	8
1	22	36	9
2	8	17	27
3	20	5	35
4	32	8	22
5	10	29	19
6	39	6	22
7	9	31	21
8	8	37	21
9	8	19	32
10	10	19	29
11	21	30	11
12	23	32	14
13	10	29	19
14	21	36	7
15	19	10	28
16	33	22	9
17	8	41	24
18	5	34	20
19	20	5	36
20	10	19	29
21	37	9	27
22	20	5	37
23	36	7	19
24	20	31	7
25	38	8	25
26	36	23	9
27	9	28	18
28	10	29	19
29	35	24	10
30	12	31	21
31	11	569	20
32	37	21	7
33	19	6	31
34	18	27	9
35	6	27	17
36	20	29	10
37	37	6	24
38	9	40	23
39	17	8	26
40	34	23	8
41	7	20	35
42	10	19	28
43	10	19	28
44	11	20	30
45	21	12	3106
46	10	31	19
47	9	18	28
48	20	29	10
49	10	29	19
50	23	7	34
51	12	21	30
52	31	20	10
53	9	22	32
54	21	8	36
55	29	20	10
56	37	8	22
57	10	19	29
58	30	11	20
59	36	8	23
60	12	31	21
61	6	17	29
62	20	29	11
63	9	18	29
64	32	6	21
65	9	28	18
66	5	35	20
67	21	34	7
68	22	7	33
69	10	19	29
70	20	29	10
71	13	22	34
72	9	18	28
73	20	29	11
74	19	28	10
75	34	7	21
76	18	27	9
77	28	19	9
78	29	10	19
79	31	12	21
80	30	11	20
81	30	11	21
82	30	19	10
83	35	6	22
84	12	21	31
85	19	9	28
86	18	27	9
87	12	21	30
88	11	20	30
89	35	22	8
90	29	9	18
91	19	27	9
92	8	23	37
93	19	6	36
94	28	9	19
95	19	28	9
96	28	9	18
97	9	28	18
98	9	18	30
99	18	9	27
100	19	10	31
101	9	18	3518
102	40	27	9
103	11	30	20
104	34	21	6
105	9	36	25
106	39	9	23
107	20	11	29
108	21	32	7
109	33	7	19
110	22	32	8
111	21	12	30
112	13	31	21
113	20	29	11
114	27	18	9
115	19	28	10
116	9	28	18
117	5	36	20
118	8	23	34
119	34	5	20
120	24	38	9
121	32	21	7
122	21	29	11
123	30	21	11
124	9	24	36
125	10	19	29
126	7	22	38
127	31	12	21
128	19	28	10
129	10	29	19
130	12	21	31
131	22	7	36
132	20	6	35
133	8	19	36
134	29	10	19
135	6	23	40
136	35	8	21
137	33	7	21
138	31	8	20
139	21	11	30
140	19	10	28
141	21	11	30
142	33	17	6
143	21	30	11
144	19	9	28
145	33	6	21
146	23	34	9
147	9	37	25
148	8	26	42
149	21	30	12
150	6	20	32
151	8	33	23
152	31	6	18
153	18	9	27
154	31	7	21
155	20	29	11
156	18	9	27
157	35	7	25
158	31	21	12
159	10	19	30
160	20	29	10
161	31	12	21
162	30	11	20
163	12	21	31
164	8	31	20
165	33	12	21
166	29	10	19
167	39	7	24
168	8	35	20
169	10	29	19
170	21	31	7
171	20	11	29
172	18	32	7
173	21	11	30
174	33	7	22
175	28	19	9
176	10	19	29
177	36	5	21
178	26	42	8
179	27	18	9
180	32	20	7
181	29	19	10
182	31	22	12
183	34	18	7
184	36	25	9
185	28	6	41
186	21	33	7
187	19	28	10
188	21	38	7
189	7	36	20
190	29	6	17
191	35	8	19
192	22	31	12
193	9	23	35
194	9	36	20
195	20	29	10
196	36	8	21
197	23	36	9
198	9	18	27
199	18	27	8
200	29	20	11
201	23	9	36
202	21	33	12
203	35	4	23
204	33	21	7
205	32	22	13
206	22	7	38
207	18	27	9
208	18	8	27
209	9	23	34
210	19	33	7
211	40	26	8
212	29	18	7
213	29	19	7
214	37	20	4
215	8	23	39
216	18	9	28
217	19	7	31
218	12	21	34
219	9	34	23
220	31	20	9
221	22	31	12
222	18	9	27
223	23	34	9
224	34	24	8
225	34	19	7
226	32	22	12
227	33	22	9
228	11	30	20
229	5	19	34
230	32	23	14
231	31	21	12
232	31	22	12
233	25	35	8
234	17	31	5
235	9	18	28
236	8	23	38
237	32	21	8
238	12	21	31
239	11	19	32
240	19	7	30
241	7	20	31
242	9	24	36
243	7	35	22
244	19	10	31
245	33	8	23
246	30	21	11
247	9	28	18
248	32	9	22
249	3	43	12
250	9	37	22
251	8	26	42
252	10	19	29
253	21	5	32
254	29	20	11
255	9	18	28
256	32	6	22
257	28	19	9
258	28	19	9
259	30	21	12
260	11	30	20
261	7	20	36
262	36	20	7
263	20	29	10
264	29	19	10
265	7	20	30
266	8	27	17
267	21	30	11
268	9	28	18
269	7	33	21
270	32	21	7
271	11	32	20
272	20	29	11
273	30	21	12
274	27	17	6
275	21	12	30
276	11	20	30
277	10	19	29
278	30	20	11
279	30	20	11
280	26	9	38
281	21	9	32
282	19	33	8
283	10	19	29
284	19	10	28
285	24	6	40
286	10	19	29
287	31	21	12
288	34	23	7
289	20	11	29
290	8	32	22
291	20	29	11
292	18	9	27
293	33	19	5
294	24	7	37
295	9	21	35
296	9	37	23
297	21	12	30
298	19	28	9
299	22	7	33
300	31	8	21
301	6	35	21
302	9	33	23
303	36	8	22
304	11	30	20
305	19	36	6
306	34	8	22
307	21	30	12
308	10	2000	19
309	7	20	34
310	6	32	18
311	10	574	19
312	10	29	19
313	9	28	18
314	36	7	24
315	20	29	10
316	34	23	9
317	19	36	5
318	30	11	20
319	32	12	22
320	10	19	29
321	9	38	24
322	8	39	22
323	6	348	357
324	30	21	11
325	31	12	21
326	20	29	10
327	19	10	28
328	12	20	30
329	10	19	29
330	22	31	12
331	22	86	13
332	29	20	11
333	35	19	6
334	20	11	31
335	8	20	36
336	9	34	23
337	29	20	11
338	30	11	20
339	3	30	12
340	28	19	9
341	22	8	34
342	21	31	12
343	19	10	28
344	8	22	32
345	7	21	32
346	8	22	34
347	22	6	33
348	25	38	9
349	25	9	39
350	22	33	9
351	12	21	31
352	8	39	22
353	30	21	12
354	36	19	9
355	31	11	21
356	8	23	34
357	6	35	21
358	28	19	9
359	34	7	18
360	32	8	22
361	28	19	9
362	9	28	18
363	31	11	21
364	6	20	36
365	20	6	35
366	28	17	6
367	2439	18	9
368	32	11	20
369	29	20	11
370	31	22	12
371	20	8	36
372	30	11	21
373	33	22	7
374	6	33	22
375	19	9	28
376	29	19	10
377	29	19	10
378	29	17	6
379	27	7	38
380	20	11	29
381	21	8	36
382	34	9	24
383	10	19	29
384	7	30	18
385	8	25	37
386	30	11	20
387	19	10	28
388	21	32	8
389	33	20	5
390	19	6	31
391	23	6	35
392	12	31	21
393	10	19	32
394	29	19	10
395	33	22	13
396	33	22	8
397	29	9	19
398	20	30	6
399	19	10	28
400	7	24	38
401	33	6	18
402	18	9	27
403	11	20	29
404	33	6	20
405	19	28	9
406	21	7	36
407	21	12	30
408	21	37	7
409	21	30	11
410	20	29	10
411	18	30	5
412	12	21	32
