test	A	B	C
0	35018	35037	35047
1	2389	2380	2370
2	3	30302	30312
3	8617	8608	8599
4	2327	2346	2336
5	20497	20488	20515
6	34	6	24
7	5409	5428	5418
8	32515	32524	32505
9	6406	6397	6415
10	29367	29377	29357
11	3234	3225	3243
12	31579	31588	31570
13	8	18	28
14	3705	3695	3686
15	3	36020	36010
16	18	40535	8
17	34	6	15
18	4	15	24
19	6003	6022	6012
20	31045	31036	31063
21	8215	8205	8196
22	3	36343	36353
23	12032	12023	12013
24	3	3985	3957
25	5	24	14
26	3	22	12
27	11068	11076	11086
28	18206	18232	18196
29	12956	12936	12946
30	28068	28086	28059
31	16	6	25
32	2415	2424	2435
33	28626	28644	28616
34	33	5	14
35	7	16	34
36	37241	37252	37262
37	24106	24087	24078
38	3	15665	15675
39	27070	27051	27042
40	3	23328	23337
41	15978	15959	15950
42	4	22	12
43	16755	16745	16782
44	17035	17016	17007
45	3	23696	23705
46	2203	2185	2175
47	3	30	12
48	8	27	17
49	3	22	12
50	17333	17342	17352
51	6556	6583	6546
52	34	6	16
53	7735	7744	7763
54	5064	5036	5045
55	32484	32511	32475
56	27766	27746	27756
57	13066	13084	13075
58	8	25	35
59	8195	8214	8204
60	5	23	33
61	3236	3255	3245
62	28074	28053	28064
63	4	1140	1168
64	27573	27591	27564
65	25	7	16
66	38810	38828	38801
67	33	5	15
68	8912	8920	8930
69	34146	34126	34136
70	3	21	12
71	6594	6585	6603
72	26865	26847	26837
73	3	1895	1922
74	3076	3085	3067
75	3757	3738	3747
76	4	12	31
77	7331	7340	7321
78	3946	3926	3936
79	13787	13796	13815
80	5	15	25
81	7273	7254	7263
82	18915	18924	18943
83	21291	21300	21282
84	3	12	31
85	36949	36930	36921
86	4	4133	4123
87	37315	37296	37287
88	3	30	12
89	6	15	24
90	29806	29815	29834
91	37542	37533	37523
92	3	12	31
93	36451	36441	36432
94	10129	10138	10157
95	20316	20306	20297
96	9837	9846	9856
97	22177	22168	22159
98	6816	6825	6835
99	23261	23252	23242
100	19374	19383	19393
101	12695	12686	12676
102	4301	4310	4320
103	24814	24805	24795
104	17011	17020	17030
105	25614	25604	25595
106	12888	12897	12907
107	34156	34147	34137
108	4094	4103	4112
109	39100	39090	39081
110	5192	5201	5210
111	25546	25537	25527
112	3	3985	3994
113	23062	23034	23043
114	15400	15409	15419
115	33167	26916	26906
116	8582	8601	8591
117	16433	16424	16460
118	25445	25436	25426
119	4074	4065	4092
120	22060	22051	22041
121	8939	8930	8966
122	13707	13698	13688
123	9433	9423	9459
124	10439	10430	10420
125	8588	8579	8615
126	35717	35708	35699
127	7617	7608	7635
128	23358	23348	23339
129	23613	23604	23640
130	19378	19387	19368
131	11954	11945	11972
132	9770	9779	9760
133	8246	8237	8264
134	28068	28077	28059
135	20402	20393	20429
136	26965	26974	26955
137	7	25	35
138	25783	25792	25772
139	20535	20526	20554
140	25117	25126	25108
141	11804	11794	11831
142	14004	14013	13994
143	8585	8576	8603
144	28648	28657	28638
145	2956	2947	2983
146	33974	33983	33964
147	13621	13612	13648
148	29045	29054	29035
149	7484	7475	7502
150	17798	17807	17788
151	6	23	33
152	36646	36655	36635
153	1439	1430	1466
154	22515	22524	22505
155	8	26	36
156	23935	23953	23926
157	8087	8066	8077
158	14216	14234	14207
159	10157	10137	10148
160	13777	13768	13758
161	3	19911	19901
162	14737	14728	14764
163	31317	31308	31298
164	18118	18109	18145
165	7232	7223	7213
166	5309	5299	5335
167	28195	28186	28176
168	22411	22402	22438
169	20931	20922	20912
170	19737	19728	19764
171	16941	16932	16922
172	7	25	35
173	30804	30823	30813
174	14443	14434	14470
175	34	6	24
176	14641	14650	14660
177	34	6	24
178	32110	32101	32137
179	31598	31589	31579
180	3	2752	2725
181	1064	1083	1073
182	3	31	12
183	3480	3499	3489
184	38000	38028	38009
185	6334	6351	6361
186	30368	30396	30377
187	35768	35747	35758
188	3	22	12
189	37052	37042	37079
190	19546	19518	19536
191	17529	17520	17556
192	7501	7473	7491
193	25934	25924	25960
194	28204	28194	28185
195	3	2945	2935
196	21720	21710	21747
197	16796	16787	16777
198	25253	25244	25280
199	23536	23526	23517
200	22731	22721	22758
201	23232	23222	23213
202	8811	8802	8838
203	15109	15099	15086
204	29570	29561	29597
205	1805	1796	1786
206	18828	18819	18846
207	25	15	6
208	1693	1683	1702
209	4843	4825	4816
210	7078	7097	7087
211	20066	20056	20075
212	8	18	28
213	33877	33867	33886
214	7879	7888	7870
215	6056	6065	6084
216	5983	5992	5974
217	24298	24288	24307
218	7023	7032	7014
219	25	6	15
220	5469	5478	5497
221	28710	28682	28673
222	3	12	21
223	23565	23592	23556
224	19293	19273	19283
225	15811	15838	15801
226	26223	26203	26213
227	5	33	23
228	29358	29338	29348
229	17630	17648	17621
230	14566	14546	14556
231	4262	4289	4253
232	32991	32971	32981
233	3	6371	6381
234	6	33	23
235	26202	26192	26211
236	6714	6732	6705
237	15	5	24
238	20576	20585	20604
239	12527	12545	12518
240	23666	23646	23656
241	7290	7309	7299
242	2105	2123	2133
243	4	1582	1572
244	19061	19043	19033
245	3	12	22
246	6834	6852	6862
247	3	803	793
248	26353	26326	26317
249	6	26	16
250	34628	34610	34600
251	237	256	246
252	1398	1407	1416
253	24113	24095	24085
254	3	11738	11710
255	31000	30982	30972
256	3	22	12
257	39539	39529	39566
258	39536	39545	39527
259	7	25	35
260	7	16	25
261	14511	14502	14521
262	12465	12446	12437
263	5461	5482	5472
264	15518	15498	15508
265	9843	9862	9852
266	33375	33354	33365
267	12951	12970	12960
268	26119	26099	26109
269	3	12	22
270	27447	27427	27437
271	10666	10685	10675
272	39843	39823	39833
273	5804	5823	5813
274	26530	26510	26520
275	14059	14078	14068
276	28904	28884	28894
277	8838	8857	8847
278	5	23	33
279	17128	17137	17147
280	25	4	15
281	34822	34812	34849
282	6522	10527	6540
283	13667	13657	13693
284	13680	13690	13700
285	12929	12901	12910
286	3	12281	12271
287	11878	11859	11868
288	3	14952	14942
289	6438	6419	6428
290	3	25580	25571
291	17	7	26
292	3	12	22
293	3570	3561	3551
294	14128	14156	14137
295	22538	22528	22547
296	19746	19774	19755
297	36270	36260	36279
298	9901	9891	9910
299	16436	16464	16445
300	10915	10905	10924
301	24578	24606	24587
302	33051	33041	33060
303	3095	3067	3085
304	10994	10984	11011
305	4971	4961	4980
306	2319	2347	2328
307	23368	23358	23377
308	3267	3295	3276
309	19642	19632	19651
310	16384	16412	16393
311	13688	13678	13697
312	3	30003	29993
313	20142	20133	20123
314	10937	10965	10946
315	25143	25133	25152
316	23393	23421	23402
317	6	24	33
318	5	14	23
319	18032	18022	18058
320	82	92	102
321	17041	17012	17022
322	3	29640	29649
323	3814	3786	3795
324	3	27432	27442
325	19117	19089	19098
326	3	31336	31346
327	15584	15555	15565
328	4	34356	34346
329	11062	11033	11043
330	3	27548	27538
331	21934	21906	21915
332	3	16427	16417
333	23032	23003	23012
334	3	17883	17873
335	16248	16219	16229
336	3	16454	16444
337	1669	1640	1650
338	3	34041	34031
339	1560	1531	1540
340	3	26998	26988
341	15916	15897	15906
342	3	19845	19835
343	10595	10576	10585
344	4	12	31
345	7240	7249	7259
346	3	36614	36604
347	18	8	27
348	3	12	22
349	10501	10491	10482
350	12621	12649	12630
351	13126	13116	13135
352	18519	18547	18528
353	7	25	34
354	16898	16907	16917
355	13374	13365	13401
356	11449	11421	11439
357	28659	28650	28686
358	1582	1554	1572
359	23406	23397	23433
360	9226	9217	9207
361	25973	25964	26000
362	13523	13514	13504
363	26219	26209	26245
364	3665	3656	3646
365	27554	27545	27581
366	25	16	6
367	17	7	26
368	4058	4067	4077
369	16116	16107	16143
370	18887	18878	18868
371	4	7844	7854
372	24837	24827	24864
373	4633	4624	4614
374	16883	16873	16909
375	20042	20032	20023
376	19786	19776	19813
377	14806	14797	14787
378	23786	23777	23813
379	4809	4800	4791
380	16373	16364	16400
381	841	832	823
382	29154	29145	29181
383	10000	9991	9981
384	17796	17787	17823
385	26	17	7
386	5	24	14
387	2925	2943	2933
388	3932	3941	3951
389	21615	21642	21605
390	7122	7102	7112
391	5312	5339	5302
392	13118	13098	13108
393	3822	3848	3812
394	22873	22852	22863
395	8	35	5092
396	16	6	25
397	4	12	22
398	30293	30302	30283
399	174	164	183
400	28862	28871	28853
401	7543	7534	7552
402	30346	30355	30336
403	5638	5629	5647
404	23218	23200	23190
405	3	21811	21783
406	31131	31113	31103
407	3	5078	5050
408	34844	34817	34808
409	3	22917	22889
410	36677	36650	36640
411	3	9336	9309
412	16449	16431	16421
413	3	14679	14651
414	29556	29565	29547
415	20900	20880	20890
416	8	17	26
417	24768	24778	24788
418	1823	1795	1805
419	35086	35103	35076
420	6503	6513	6523
421	35	7	25
422	18205	18224	18214
423	23862	23841	23852
424	13836	13846	25811
425	26308	26326	26299
426	4691	4701	4711
427	35	7	25
428	13356	13375	13365
429	7	17	27
430	1894	1876	1866
431	10104	10123	10113
432	24464	24444	24454
433	3	21796	21786
434	8333	8314	8305
435	6691	6710	6700
436	13897	13888	13906
437	11091	11072	11063
438	3267	3286	3276
439	6155	6146	6164
440	4373	4354	4345
441	3	22293	22283
442	13148	13130	13120
443	7082	7101	7091
444	5	15	25
445	1715	1687	1677
446	8894	8913	8903
447	11780	11770	11789
448	21620	21611	21601
449	10178	10169	10187
450	12004	6	24
451	15631	15650	15640
452	21420	21410	21401
453	3	12	31
454	19417	19398	19407
455	3	23175	23165
456	29160	29178	29188
457	2129	2110	2101
458	3	25250	25259
459	7132	7105	7095
460	3	21	12
461	10193	10184	10220
462	4853	4834	4825
463	3	39276	39285
464	7469	7451	7441
465	3	24128	24138
466	6019	5991	5982
467	3	39116	39106
468	19105	19123	19132
469	10474	10465	10455
470	6721	6712	6739
471	3063	3045	3035
472	3	28556	28566
473	6417	6398	6389
474	4	34773	34783
475	7411	7401	7392
476	3	31	12
477	12074	12093	12083
478	3	35989	35999
479	9761	9751	9742
480	36700	36728	36709
481	36850	36830	36840
482	3	32481	32491
483	13598	13570	13588
484	24318	24309	24345
485	11574	11565	11555
486	21394	21384	21420
487	33	5	23
488	38249	38239	38275
489	39353	15449	15439
490	25546	25582	25555
491	13327	13345	13355
492	32533	32570	32542
493	15746	15735	15754
494	11161	11171	11181
495	22947	22985	22957
496	14527	14545	14554
497	24685	24724	24696
498	28916	28906	28925
499	9848	9858	9868
500	29618	29655	29627
501	19211	19229	19239
502	26992	27020	27001
503	5452	5469	5479
504	23553	23582	23562
505	9730	9748	9758
506	34253	34281	34262
507	4346	4364	4374
508	25049	25086	25058
509	23793	23811	23821
510	22903	22943	22915
511	2526	2543	2553
512	33678	33706	33687
513	23689	23707	23716
514	13565	13593	13574
515	15350	15368	15377
516	14442	14481	14454
517	10894	10884	10904
518	24837	24875	24847
519	15970	15960	15979
520	26440	26476	26449
521	15670	15661	15679
522	23995	24023	24004
523	14692	14682	14701
524	2294	2322	2303
525	137	127	146
526	3800	3788	3779
527	6928	6956	6937
528	20597	20587	20606
529	12101	12138	12110
530	10463	10453	10472
531	14967	15004	14976
532	16599	16589	16608
533	572	600	581
534	7	16	26
535	6165	6156	6146
536	4361	4389	4370
537	4056	4047	4065
538	37324	37333	37314
539	11270	11260	11279
540	17574	17602	17583
541	21173	21163	21182
542	17672	17700	17681
543	17398	17388	17407
544	22701	22729	22710
545	6	16	26
546	22039	7	25
547	3	33442	33432
548	18184	18165	18175
549	8	36	26
550	16	6	25
551	7330	7339	7349
552	9112	9130	9103
553	34	6	16
554	3	31	12
555	7857	7876	7866
556	30837	30863	30827
557	421	393	403
558	25124	25142	25115
559	10461	10433	10442
560	8896	8923	8885
561	17968	17940	17949
562	11491	11518	11482
563	33	5	14
564	10849	10858	10876
565	20159	20130	20140
566	3	12	31
567	15	5	24
568	5040	5062	5050
569	8	19	29
570	3	8849	8839
571	35375	35356	35347
572	3	19170	19198
573	8	36	26
574	3827	3845	3854
575	3	6033	6023
576	15612	15584	15574
577	3	20227	20254
578	4411	4429	4402
579	28301	28290	28310
580	4166	4184	4157
581	35	7	16
582	7408	7417	7435
583	26593	26565	26554
584	3	29683	29673
585	10359	10340	10349
586	3	34919	34909
587	36	8	17
588	38468	38495	38457
589	34	6	15
590	33606	33633	33596
591	5270	5280	5290
592	8559	8540	8531
593	3	19019	19009
594	30024	1783	1801
595	13264	13276	13304
596	28085	28074	28103
597	1198	1226	1207
598	26640	26630	26649
599	3	12281	12271
600	13609	13600	13590
601	3	31	12
602	33562	33533	33542
603	3	3275	3285
604	33353	33315	33325
605	3	4779	4789
606	35516	35487	35496
607	13604	13625	13615
608	6259	6268	6287
609	29106	29096	29124
610	618	656	628
611	4328	4318	4340
612	4513	4503	4493
613	3	31	12
614	17	6	26
615	12520	12529	12548
616	25198	25208	25187
617	10998	11009	11037
618	7435	7444	7424
619	6315	6324	6343
620	21725	21734	21715
621	587	599	626
622	7	35	25
623	18	37	27
624	5	32	22
625	4819	4838	4828
626	28075	28103	28084
627	14829	14819	14838
628	7319	7356	7329
629	11105	11096	11117
630	38183	38192	38173
631	9258	9248	9267
632	11301	11329	11309
633	11226	11215	11236
634	19992	20031	20003
635	6	24	34
636	27035	27063	27044
637	10461	10451	10469
638	23496	23506	23534
639	16685	16695	16675
640	17856	17865	17884
641	22831	22840	22822
642	1927	1936	1955
643	22839	22849	22828
644	9710	9722	9749
645	16594	16603	16585
646	9834	9843	9862
647	7	17	27
648	118	98	108
649	16974	16983	17002
650	8	35	25
651	17488	17477	17515
652	16767	16795	16785
653	20558	20575	20585
654	12706	12734	12724
655	3263	3281	3291
656	12211	12192	12183
657	3	22073	22083
658	10855	10828	10817
659	3	37998	38008
660	6909	6890	6881
661	3	30567	30577
662	8822	8804	8794
663	3	1765	1737
664	10354	10325	10335
665	3	20537	20527
666	27941	27959	27968
667	35	7	25
668	19419	19438	19428
669	14232	14223	14213
670	3	12	31
671	38526	38497	38506
672	3	211	201
673	19339	19330	19366
674	11208	11199	11189
675	6	24	34
676	4	20572	20563
677	36785	36766	36757
678	3	4375	4365
679	36922	36904	36894
680	3	15713	15703
681	18973	18946	18937
682	3	10931	10921
683	11526	11507	11498
684	3	12333	12323
685	15094	15076	15066
686	3	13811	13801
687	20562	20543	20534
688	3	4718	4708
689	32646	32627	32618
690	4	461	488
691	309	318	300
692	19850	19831	19840
693	3385	3394	3413
694	4	32	22
695	13457	13476	13466
696	25399	25390	25381
697	2054	2063	2073
698	30292	30283	30273
699	3	12	30
700	8	17	26
701	4318	4327	4337
702	11947	11965	11938
703	22237	22255	22265
704	5446	5474	5464
705	21757	21774	21784
706	13139	13130	13120
707	1051	1042	1078
708	16993	16984	16974
709	1687	1677	1714
710	32	4	22
711	3	22	12
712	20743	20734	20770
713	17210	17200	17191
714	6	23	33
715	23328	23337	23347
716	31971	31962	31998
717	11746	11757	11766
718	26	7	17
719	37354	37382	37363
720	2878	2896	2906
721	12516	12544	12525
722	217	235	244
723	23727	23756	23736
724	34779	34768	34788
725	36	8	26
726	36402	36392	36429
727	18	8	37
728	6999	7018	7008
729	12578	12569	12596
730	7813	7801	7792
731	3	23514	23523
732	19456	19447	19437
733	4815	4805	4842
734	15	5	24
735	12590	12609	12599
736	5	23	33
737	7800	7809	7819
738	32907	32897	32933
739	7034	7045	7055
740	25	6	15
741	5055	5064	5074
742	7	17	27
743	33435	33424	33444
744	1453	1462	1443
745	27779	27769	27788
746	4670	4679	4661
747	36	8	18
748	7855	7864	7882
749	19838	19819	19810
750	3	270	280
751	22060	22086	22050
752	14777	14757	14767
753	23311	23320	23302
754	3	25458	25448
755	27	8	17
756	29473	29502	29482
757	10298	10289	10307
758	15553	15562	15581
759	19859	19868	19849
760	3	12	31
761	2993	3002	2984
762	17785	17766	17775
763	3	12	31
764	6	16	25
765	8104	8085	8094
766	10439	10448	10467
767	8	36	26
768	5843	5862	5852
769	4585	4612	4602
770	22095	22104	22132
771	36	8	26
772	16888	940	4926
773	3	38973	38963
774	16108	16098	16117
775	13684	13656	13665
776	3	5971	5961
777	4729	4720	4756
778	33735	33725	33715
779	7114	7104	7141
780	25477	25486	25468
781	6	24	34
782	2677	2668	2659
783	15073	15110	15082
784	6504	6495	6531
785	18806	18815	18794
786	14259	14250	14286
787	34918	34927	34908
788	4392	4383	4419
789	29080	29089	29070
790	4372	4363	4399
791	36	8	26
792	10353	10372	10362
793	5	33	23
794	1572	1591	1581
795	28152	28188	28161
796	7	25	35
797	26630	26639	26621
798	11470	11460	11479
799	3	9112	12
800	31475	31463	31453
801	17243	17271	17252
802	5	15	25
803	15	5	33
804	16368	16377	16388
805	12798	12815	12788
806	25565	25583	25593
807	21732	21722	21710
808	14954	14944	14981
809	12378	12369	12359
810	14659	14650	14686
811	13141	13132	13122
812	3167	3158	3194
813	15722	15753	15763
814	12257	12248	12284
815	16317	16308	16299
816	2972	2963	2990
817	36	8	26
818	34318	34328	34356
819	15	5	33
820	39728	39736	39756
821	3904	3894	3913
822	11104	11132	11113
823	6	24	34
824	1998	2007	2016
825	1136	1127	1145
826	35400	35372	35363
827	3	10129	10119
828	21792	21765	21753
829	4	10956	10946
830	8074	8046	8035
831	3	12	22
832	8553	8544	8562
833	16398	16371	16362
834	3	22	12
835	1245	1235	1254
836	4638	4619	4610
837	3	30	12
838	19676	19647	19657
839	3	16118	16108
840	32240	32258	32268
841	2895	2922	2912
842	17125	17143	17152
843	25763	25790	25780
844	19827	19844	19854
845	22664	22691	22681
846	6982	7000	7010
847	25574	25601	25592
848	12889	12906	12916
849	14060	14041	14032
850	3	8547	8557
851	30705	30678	30666
852	3	8915	8925
853	29060	29041	29032
854	3	13265	13275
855	13441	13414	13401
856	3	9043	9052
857	11658	11649	11640
858	3	26197	26208
859	13559	13550	13540
860	3	9813	9822
861	24447	24437	24428
862	3	20211	20220
863	23780	23771	23761
864	3	18266	18275
865	25983	25974	25964
866	3	20528	20538
867	6994	6982	6972
868	3	21126	21136
869	7832	7823	7814
870	3	29194	29204
871	9583	9574	9564
872	3	39414	39424
873	18	8	27
874	3	29026	29036
875	14081	14072	14062
876	3	34071	34081
877	17	6	35
878	3	31	12
879	3063	3085	3075
880	19508	19535	19498
881	28059	28076	28086
882	34	6	24
883	3	27242	27252
884	18728	18709	18700
885	3	21028	21038
886	582	555	545
887	3	35550	35560
888	11162	11153	11143
889	3	22710	22720
890	16	6	25
891	5261	5280	5270
892	3756	3746	3782
893	16	6	34
894	3	34801	34811
895	11705	11696	11685
896	22086	22076	22112
897	7784	7774	7765
898	3	30	12
899	4459	4468	4478
900	4	12	22
901	19814	19841	19805
902	6470	6451	6460
903	2113	2122	2131
904	23092	23119	23082
905	1355	1335	1345
906	3	34450	34440
907	34	6	15
908	34240	34267	34231
909	25541	25551	25561
910	33	5	23
911	3240	3263	3250
912	10884	10875	10893
913	17655	17646	17636
914	16060	16051	16069
915	36	8	26
916	34063	34053	34072
917	11150	11140	11131
918	9966	9957	9976
919	15616	15606	15597
920	14824	14815	14833
921	21011	21002	20992
922	31305	31285	31295
923	3344	3363	3353
924	6	23	33
925	36019	36046	36010
926	12317	12328	12338
927	240	213	202
928	3	31	12
929	2232	2213	2222
930	21871	21880	21899
931	13129	13138	13119
932	25344	25353	25380
933	13541	13550	13532
934	30875	30884	30911
935	15	24	5
936	5077	5086	5096
937	6085	6103	6113
938	21374	21402	21383
939	5	23	33
940	6982	6991	7009
941	24264	24254	24273
942	6639	6647	6629
943	23917	23907	23926
944	7	17	27
945	32766	32756	32775
946	5428	5437	5418
947	32143	32133	32152
948	6	33	23
949	6708	6726	6736
950	2042	2051	2060
951	1497	1515	1525
952	29738	29766	29747
953	4752	4742	4761
954	3	12	30
955	5498	5506	5516
956	207	216	225
957	6449	6421	6439
958	22488	22479	22515
959	3834	3844	3854
960	33	5	15
961	7	16	34
962	33066	33057	33075
963	3528	3500	3509
964	4	30976	30966
