#period	period time	calc time
1	1993	1251
2	1750	1250
3	1497	1001
4	1499	1251
5	1499	1002
6	1498	2002
7	2240	1252
8	1253	1246
9	1494	1255
10	1257	1245
11	1246	1005
12	1501	1251
13	1499	1501
14	2747	1255
15	1500	1260
16	1499	1251
17	1498	752
18	1247	1254
19	1497	1008
20	1499	1257
21	2998	1253
22	1499	1002
23	1500	1249
24	1494	1004
25	1511	1245
26	1491	1251
27	1748	2006
28	2250	1000
29	1498	1251
30	1497	1003
31	1501	1251
32	1498	999
33	1745	1252
34	1509	1744
35	2239	1265
36	1502	1249
37	1497	1251
38	1499	1000
39	1747	1252
40	1500	750
41	1252	1996
42	2246	1250
43	1497	1001
44	1250	1250
45	1497	1251
46	1748	1252
47	1499	751
48	1248	2003
49	2252	1249
50	1744	1258
51	1501	1001
52	1748	1253
53	1502	747
54	1244	1261
55	1502	2005
56	2009	991
57	1236	751
58	1248	1254
59	1258	993
60	1240	1002
61	1500	1249
62	1497	1251
63	1498	2002
64	2249	1250
65	1749	1250
66	1498	1253
67	1499	1252
68	1499	1001
69	1499	1253
70	1748	2001
71	2248	1251
72	1499	1002
73	1499	1253
74	1498	1001
75	1498	1264
76	1500	1250
77	1752	2001
78	2245	1252
79	1499	1249
80	1499	1001
81	1498	1251
82	1501	1247
83	1749	1249
84	1498	2000
85	2246	1251
86	1500	1001
87	1497	1252
88	1498	1002
89	1749	1252
90	1500	752
91	1250	1749
92	2248	1249
93	1496	1252
94	1499	1253
95	1500	1000
96	1247	1253
97	1499	1250
98	1497	2006
99	2250	1252
100	1498	1002
101	1498	1251
102	1749	1251
103	1500	1000
104	1497	1252
105	1501	12993
106	13490	1503
107	1749	1002
108	1249	1251
109	1498	1251
110	1499	1251
111	1501	999
112	1995	1751
113	1999	1251
114	1498	751
115	1251	1249
116	1497	1001
117	1499	1252
118	1498	1252
119	1499	2247
120	2498	1250
121	1499	1254
122	1499	1001
123	1498	1255
124	1499	1262
125	1500	1255
126	1750	1749
127	2246	1250
128	1499	1251
129	1498	1252
130	1499	1001
131	1250	1504
132	1507	1242
133	1490	2001
134	2247	1251
135	1498	749
136	1252	1248
137	1496	1002
138	1749	1253
139	1498	1001
140	1499	2001
141	2250	1000
142	1497	1251
143	1500	1250
144	1747	1253
145	1499	1252
146	1499	1250
147	1500	1750
148	1996	1003
149	1249	1252
150	1498	1002
151	1749	1251
152	1499	1001
153	1499	1262
154	1500	2000
155	2247	1254
156	1257	1248
157	1251	1241
158	1488	1251
159	1499	1252
160	1499	1252
161	1499	1253
162	2748	1251
163	1749	1251
164	1498	1252
165	1499	1253
166	1500	1251
167	1497	1252
168	1498	2001
169	2249	1003
170	1249	1254
171	1257	1245
172	1248	1246
173	1249	993
174	1488	1253
175	1497	1257
176	3002	1251
177	1495	1255
178	1500	1007
179	1499	1254
180	1498	1004
181	1501	1252
182	1496	2003
183	2500	1252
184	1500	1251
185	1495	1254
186	1500	1004
187	1505	1248
188	1496	1000
189	1247	1751
190	2249	1252
191	1500	1250
192	1501	1248
193	1498	999
194	1746	1254
195	1256	993
196	1493	1999
197	2247	1001
198	1249	1000
199	1250	750
200	1246	1252
201	1500	1000
202	1248	1251
203	1499	1254
204	2497	1252
205	1500	1000
206	1247	1002
207	1499	1253
208	1499	1252
209	1499	1251
210	1500	1999
211	2745	1253
212	1500	751
213	1498	1001
214	1249	1001
215	1249	750
216	1249	1257
217	1508	1245
218	1491	2000
219	2247	1002
220	1251	1250
221	1498	1251
222	1498	1252
223	1499	1252
224	1495	1256
225	1502	2502
226	2998	1251
227	1499	1252
228	1499	1256
229	1260	1241
230	1488	1251
231	1494	1251
232	1997	1757
233	1999	1258
234	1261	992
235	1489	1251
236	1499	1251
237	1500	1247
238	1498	1001
239	1748	1751
240	1998	1251
241	1497	754
242	1251	1252
243	1499	1251
244	1499	1251
245	1498	1253
246	1751	1998
247	2246	1252
248	1499	1253
249	1257	1247
250	1251	992
251	1489	1252
252	1498	1252
253	1499	2252
254	2499	1251
255	1499	1252
256	1498	1001
257	1748	1251
258	1500	1250
259	1497	1254
260	1257	1993
261	2240	1252
262	1500	1250
263	1497	1254
264	1257	993
265	1240	1252
266	1499	754
267	1250	1252
268	2996	1251
269	1499	1251
270	1749	1252
271	1498	751
272	1498	1252
273	1499	752
274	1249	2253
275	2499	1250
276	1747	1254
277	1752	1252
278	1502	1258
279	1492	1254
280	1501	1000
281	2747	1002
282	1245	1254
283	1503	1000
284	1248	1265
285	1499	753
286	1248	1251
287	1496	1256
288	2997	1254
289	1500	1253
290	1498	1004
291	1501	1254
292	1497	1003
293	1499	1252
294	1498	2003
295	2749	1256
296	1260	992
297	1239	1251
298	1498	1251
299	1499	750
300	1500	1250
301	1497	754
302	1252	1998
303	2245	1252
304	1501	751
305	1247	1252
306	1503	1247
307	1745	1251
308	1498	1004
309	1254	1997
310	2239	1256
311	1503	1002
312	1499	1252
313	1749	1251
314	1498	1252
315	1749	1251
316	1747	1754
317	1999	1002
318	1249	1251
319	1749	1251
320	1499	1251
321	1500	999
322	1247	1251
323	1499	2251
324	2498	1501
325	1750	1250
326	1497	1001
327	1498	1251
328	1499	1001
329	1498	1254
330	1501	1998
331	2246	1252
332	1499	1250
333	1748	1253
334	1499	1251
335	1498	1248
336	1249	996
337	1249	2002
338	2245	1254
339	1500	1251
340	1496	754
341	1262	1257
342	1493	1260
343	1496	1255
344	1499	2001
345	2248	1251
346	1499	1251
347	1496	1254
348	1504	1248
349	1498	999
350	1496	1254
351	1500	2001
352	2248	1255
353	1499	1257
354	1498	1253
355	1499	1251
356	1746	1255
357	1502	1001
358	1248	2004
359	2253	1247
360	1497	998
361	1246	1252
362	1499	1252
363	1750	1250
364	1498	751
365	1248	2001
366	2249	1252
367	1500	1250
368	1496	1252
369	1749	1251
370	1499	1251
371	1499	1253
372	1501	1749
373	1999	1248
374	1498	1249
375	1496	1003
376	1498	1252
377	1499	1001
378	1498	1251
379	1500	2002
380	2247	1501
381	1746	1254
382	1502	1251
383	1498	1002
384	1499	1251
385	1498	1250
386	1748	2001
387	2248	1251
388	1500	1250
389	1497	1002
390	1499	1251
391	1499	1252
392	1496	1258
393	1262	2238
394	2240	1250
395	1495	1252
396	1500	1007
397	1496	1254
398	1500	1253
399	1499	1253
400	1497	2006
401	2252	1250
402	1497	1250
403	1499	752
404	1001	1001
405	1247	752
406	1249	1251
407	1498	1002
408	1998	1502
409	1751	999
410	1499	1249
411	1500	1248
412	1497	1251
413	1497	1253
414	1501	1252
415	1256	1994
416	1998	1243
417	1490	1253
418	1499	1252
419	1498	1254
420	1499	1251
421	1498	1001
422	1500	2000
423	2247	1251
424	1498	752
425	1250	1251
426	1500	1000
427	1247	751
428	1249	1251
429	1499	1501
430	2749	1250
431	1498	1251
432	1498	1252
433	1499	752
434	1250	1252
435	1499	1001
436	1498	1253
437	2998	1501
438	1748	1253
439	1499	1252
440	1499	1254
441	1257	1243
442	1491	1002
443	1249	1251
444	3495	1252
445	1500	1248
446	1499	1255
447	1259	992
448	1486	1253
449	1501	1497
450	1748	2000
451	2246	1253
452	1498	1254
453	1500	1004
454	1500	1252
455	1497	1005
456	1751	1255
457	1256	1997
458	2241	1247
459	1500	1001
460	1249	1000
461	1498	1250
462	1499	1250
463	1747	1250
464	1252	1998
465	2494	1263
466	1503	1250
467	1500	1252
468	1255	1241
469	1739	1251
470	1497	1251
471	1502	1997
472	2246	1253
473	1256	993
474	1490	1252
475	1499	1002
476	1498	1254
477	1499	1251
478	1499	2001
479	2250	1253
480	1258	993
481	1488	1254
482	1258	992
483	1240	1251
484	1499	1252
485	1500	1500
486	2746	1253
487	1749	1251
488	1498	1251
489	1500	1250
490	1497	1002
491	1499	1252
492	1499	2000
493	2749	1253
494	1256	993
495	1490	1252
496	1499	1252
497	1499	1255
498	1259	1242
499	1739	2001
500	2251	1249
