#signal	response time
0	1063
1	1671
2	1417
3	937
4	1431
5	1171
6	928
7	1675
8	1177
9	1678
10	1427
11	1175
12	1436
13	935
14	918
15	1179
16	1928
17	1179
18	1427
19	930
20	1180
21	1429
22	1180
23	1428
24	931
25	1423
26	936
27	932
28	1179
29	930
30	1679
31	1181
32	1179
33	1680
34	1177
35	926
36	927
37	1430
38	1429
39	936
40	1172
41	1454
42	1675
43	1186
44	1180
45	1679
46	930
47	1178
48	926
49	1203
50	1178
51	1190
52	928
53	1432
54	929
55	1680
56	1178
57	929
58	1675
59	938
60	930
61	1682
62	1425
63	1928
64	926
65	1436
66	928
67	1182
68	929
69	1679
70	929
71	1434
